VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
1,2016-06-27 00:10:01,2016-06-27 00:21:03,N,1,-73.890907287597656,40.746780395507813,-73.8577880859375,40.748931884765625,1,1.90,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2016-06-05 01:00:08,2016-06-05 01:07:51,N,1,-73.94091796875,40.700199127197266,-73.94744873046875,40.678237915039063,1,2.17,8.5,0.5,0.5,2.94,0,,0.3,12.74,1,1
2,2016-06-30 23:34:53,2016-06-30 23:41:22,N,1,-73.975296020507812,40.680885314941406,-73.993080139160156,40.687782287597656,5,1.07,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,2016-06-26 11:03:58,2016-06-26 11:20:20,N,1,-73.980262756347656,40.676700592041016,-73.92584228515625,40.682331085205078,2,3.60,15,0,0.5,3.16,0,,0.3,18.96,1,1
2,2016-06-01 01:31:11,2016-06-01 01:39:38,N,1,-73.992408752441406,40.683879852294922,-74.009246826171875,40.715496063232422,1,2.79,10.5,0.5,0.5,2.95,0,,0.3,14.75,1,1
2,2016-06-06 16:51:57,2016-06-06 16:57:36,N,1,-73.938499450683594,40.817386627197266,-73.949005126953125,40.814838409423828,1,.97,6,1,0.5,0,0,,0.3,7.8,2,1
2,2016-06-24 11:41:47,2016-06-24 12:07:18,N,1,-73.9552001953125,40.735733032226563,-73.956253051757813,40.719161987304688,1,3.69,15.5,0,0.5,0,0,,0.3,16.3,2,1
2,2016-06-11 21:26:32,2016-06-11 21:30:26,N,1,-73.948783874511719,40.803256988525391,-73.954811096191406,40.789360046386719,1,1.15,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-06-04 22:32:57,2016-06-04 23:00:53,N,1,-73.94720458984375,40.748832702636719,-74.00543212890625,40.745952606201172,2,6.59,24.5,0.5,0.5,5.16,0,,0.3,30.96,1,1
2,2016-06-08 22:14:52,2016-06-08 22:29:03,N,1,-73.976631164550781,40.665035247802734,-73.975166320800781,40.687183380126953,1,2.39,12,0.5,0.5,2.66,0,,0.3,15.96,1,1
2,2016-06-05 13:55:42,2016-06-05 14:02:28,N,5,-73.922622680664063,40.842292785644531,-73.932388305664063,40.852836608886719,2,1.30,15,0,0,0,0,,0,15,2,2
1,2016-06-03 11:43:20,2016-06-03 11:48:19,Y,1,-73.949882507324219,40.827110290527344,-73.941764831542969,40.826828002929688,2,.60,5,0,0.5,0,0,,0.3,5.8,2,1
2,2016-06-18 16:31:25,2016-06-18 16:55:13,N,5,-73.826087951660156,40.742816925048828,-73.782798767089844,40.644046783447266,1,8.65,35,0,0,7,0,,0,42,1,2
2,2016-06-19 12:47:28,2016-06-19 12:50:00,N,1,-73.939125061035156,40.843116760253906,-73.937736511230469,40.848094940185547,1,.42,4,0,0.5,0,0,,0.3,4.8,2,1
2,2016-06-06 05:52:30,2016-06-06 05:59:26,N,1,-73.949134826660156,40.714042663574219,-73.953086853027344,40.737087249755859,1,1.79,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-06-11 23:38:25,2016-06-11 23:44:20,N,1,-73.923698425292969,40.706924438476562,-73.904319763183594,40.715301513671875,1,1.65,7,0.5,0.5,0,0,,0.3,8.3,1,1
2,2016-06-11 21:21:34,2016-06-11 21:36:47,N,1,-73.871002197265625,40.733993530273438,-73.910568237304688,40.758396148681641,1,3.83,15,0.5,0.5,0,0,,0.3,16.3,2,1
1,2016-06-03 18:55:15,2016-06-03 19:07:20,N,1,-73.956573486328125,40.681427001953125,-73.942428588867188,40.671180725097656,1,1.60,9,1,0.5,2.7,0,,0.3,13.5,1,1
2,2016-06-18 18:47:12,2016-06-18 19:02:32,N,1,-73.952934265136719,40.810348510742187,-73.948013305664062,40.779411315917969,1,2.82,12.5,0,0.5,0,0,,0.3,13.3,1,1
2,2016-06-12 18:04:54,2016-06-12 18:13:06,N,1,-73.994522094726563,40.702991485595703,-73.975112915039063,40.697994232177734,1,1.22,7,0,0.5,1.56,0,,0.3,9.36,1,1
2,2016-06-22 18:12:49,2016-06-22 18:34:41,N,1,-73.98699951171875,40.692283630371094,-73.942718505859375,40.691734313964844,1,3.09,15.5,1,0.5,2,0,,0.3,19.3,1,1
2,2016-06-03 08:37:19,2016-06-03 09:16:54,N,1,-73.956428527832031,40.746978759765625,-73.971099853515625,40.760047912597656,6,3.49,23.5,0,0.5,0,0,,0.3,24.3,2,1
2,2016-06-14 19:00:47,2016-06-14 19:07:16,N,1,-73.889915466308594,40.747173309326172,-73.917976379394531,40.771396636962891,1,2.50,9,1,0.5,0,0,,0.3,10.8,2,1
1,2016-06-03 09:55:58,2016-06-03 10:40:55,N,1,-73.954994201660156,40.820320129394531,-73.988883972167969,40.752918243408203,2,6.00,30,0,0.5,6.15,0,,0.3,36.95,1,1
2,2016-06-05 01:34:12,2016-06-05 01:47:41,N,1,-73.959480285644531,40.715156555175781,-73.942527770996094,40.692436218261719,1,2.29,11,0.5,0.5,2.46,0,,0.3,14.76,1,1
2,2016-06-09 21:15:38,2016-06-09 21:26:43,N,1,-73.94439697265625,40.823963165283203,-73.917228698730469,40.810672760009766,1,1.85,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-06-19 00:08:36,2016-06-19 00:21:34,N,1,-73.965118408203125,40.629951477050781,-73.961433410644531,40.67108154296875,6,3.37,12.5,0.5,0.5,3.45,0,,0.3,17.25,1,1
2,2016-06-10 07:13:37,2016-06-10 07:24:53,N,1,-73.953125,40.788471221923828,-73.960960388183594,40.806816101074219,1,1.83,9.5,0,0.5,2.06,0,,0.3,12.36,1,1
2,2016-06-01 10:37:21,2016-06-01 11:07:11,N,1,-73.830513000488281,40.75946044921875,-73.979637145996094,40.74884033203125,1,10.76,33.5,0,0.5,0,5.54,,0.3,39.84,2,1
2,2016-06-17 21:00:41,2016-06-17 21:02:55,N,1,-73.935562133789063,40.796112060546875,-73.93792724609375,40.80078125,1,.47,4,0.5,0.5,0,0,,0.3,5.3,1,1
1,2016-06-23 21:05:41,2016-06-23 21:33:40,N,1,-73.99346923828125,40.702468872070313,-73.981689453125,40.770481109619141,1,8.60,29,0.5,0.5,6.05,0,,0.3,36.35,1,1
1,2016-06-09 16:50:47,2016-06-09 16:58:36,N,1,-73.980125427246094,40.668785095214844,-73.979110717773437,40.683425903320312,2,1.30,7.5,1,0.5,1,0,,0.3,10.3,1,1
2,2016-06-12 20:54:33,2016-06-12 21:07:55,N,1,-73.975395202636719,40.674564361572266,-73.9849853515625,40.7021484375,1,2.59,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2016-06-28 10:52:18,2016-06-28 10:55:49,N,1,-73.953269958496094,40.81109619140625,-73.960800170898437,40.818012237548828,1,.64,4.5,0,0.5,2,0,,0.3,7.3,1,1
2,2016-06-26 10:04:39,2016-06-26 10:22:28,N,1,-73.873283386230469,40.734588623046875,-73.910140991210938,40.758098602294922,1,2.96,14,0,0.5,0,0,,0.3,14.8,2,1
2,2016-06-18 10:01:24,2016-06-18 10:08:35,N,1,-73.829856872558594,40.71368408203125,-73.818283081054688,40.729473114013672,5,1.96,8.5,0,0.5,2.32,0,,0.3,11.62,1,1
2,2016-06-17 21:34:33,2016-06-17 21:57:52,N,1,-73.844184875488281,40.721336364746094,-73.959907531738281,40.762641906738281,1,10.33,30.5,0.5,0.5,3,0,,0.3,34.8,1,1
2,2016-06-19 03:19:19,2016-06-19 03:25:52,N,1,-73.931350708007812,40.706455230712891,-73.948005676269531,40.7052001953125,1,1.72,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
1,2016-06-01 17:25:01,2016-06-01 17:43:33,N,1,-73.971908569335938,40.693149566650391,-73.990745544433594,40.6680908203125,1,2.60,13,1,0.5,0,0,,0.3,14.8,1,1
2,2016-06-26 21:05:51,2016-06-26 21:29:56,N,1,-73.907402038574219,40.741634368896484,-73.789276123046875,40.642524719238281,5,14.78,40,0.5,0.5,0,0,,0.3,41.3,2,1
2,2016-06-12 12:44:55,2016-06-12 12:54:46,N,1,-73.975486755371094,40.674343109130859,-73.955673217773438,40.675804138183594,1,1.30,7.5,0,0.5,1.66,0,,0.3,9.96,1,1
2,2016-06-04 18:24:35,2016-06-04 18:27:28,N,1,-73.954925537109375,40.733852386474609,-73.951713562011719,40.74310302734375,1,.81,5,0,0.5,1.16,0,,0.3,6.96,1,1
2,2016-06-01 19:51:06,2016-06-01 19:58:12,N,1,-73.957954406738281,40.717658996582031,-73.946121215820312,40.711433410644531,3,1.02,6.5,1,0.5,0,0,,0.3,8.3,2,1
2,2016-06-10 17:54:20,2016-06-10 17:59:53,N,1,-73.991981506347656,40.689598083496094,-73.982948303222656,40.686233520507812,1,.52,5,1,0.5,0,0,,0.3,6.8,2,1
