VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-01 00:00:29,2016-03-01 00:16:52,2,5.57,-74.005813598632812,40.717899322509766,1,N,-73.953277587890625,40.771549224853516,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2016-03-01 00:00:29,2016-03-01 00:06:23,1,.99,-73.987419128417969,40.760688781738281,1,N,-73.991508483886719,40.750091552734375,2,6,0.5,0.5,0,0,0.3,7.3
1,2016-03-01 00:00:30,2016-03-01 00:04:32,1,.60,-73.983016967773437,40.742179870605469,1,N,-73.986465454101563,40.727031707763672,1,4.5,0.5,0.5,1,0,0.3,6.8
2,2016-03-01 00:00:30,2016-03-01 00:08:33,2,2.81,-73.966987609863281,40.761360168457031,1,N,-73.939468383789063,40.790512084960937,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2016-03-01 00:00:30,2016-03-01 00:12:18,3,2.45,-73.987403869628906,40.721866607666016,1,N,-73.991531372070313,40.745853424072266,1,10.5,0.5,0.5,1,0,0.3,12.8
2,2016-03-01 00:00:30,2016-03-01 00:10:57,1,2.61,-73.9783935546875,40.752273559570312,1,N,-73.977752685546875,40.778823852539063,1,10.5,0.5,0.5,2,0,0.3,13.8
1,2016-03-01 00:00:31,2016-03-01 00:06:19,1,1.00,-73.972755432128906,40.755905151367188,1,N,-73.98736572265625,40.756359100341797,2,6,0.5,0.5,0,0,0.3,7.3
2,2016-03-01 00:00:31,2016-03-01 00:09:06,1,.73,-74.65130615234375,40.609260559082031,1,N,-74.65130615234375,40.609260559082031,1,6.5,0.5,0.5,1,0,0.3,8.8
2,2016-03-01 00:00:31,2016-03-01 00:08:31,2,1.92,-73.98663330078125,40.741226196289063,1,N,-73.99603271484375,40.718891143798828,1,8.5,0.5,0.5,2.94,0,0.3,12.74
2,2016-03-01 00:00:31,2016-03-01 00:13:00,1,3.25,-73.985877990722656,40.746841430664062,1,N,-74.007247924804687,40.707561492919922,1,12,0.5,0.5,2,0,0.3,15.3
2,2016-03-01 00:00:31,2016-03-01 00:10:27,1,4.83,-73.970809936523438,40.751819610595703,1,N,-74.005317687988281,40.708961486816406,2,15.5,0.5,0.5,0,0,0.3,16.8
2,2016-03-01 00:00:32,2016-03-01 00:08:59,1,2.46,-73.97491455078125,40.761745452880859,1,N,-73.989089965820313,40.732303619384766,1,9.5,0.5,0.5,1,0,0.3,11.8
1,2016-03-01 00:00:34,2016-03-01 00:12:54,1,2.80,-73.975982666015625,40.760536193847656,1,N,-73.983146667480469,40.728172302246094,1,11.5,0.5,0.5,2,0,0.3,14.8
1,2016-03-01 00:00:35,2016-03-01 00:05:55,1,.80,-73.974197387695313,40.750988006591797,1,N,-73.989585876464844,40.756736755371094,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2016-03-01 00:00:35,2016-03-01 00:13:25,1,2.85,-73.952407836914062,40.810661315917969,1,N,-73.977371215820313,40.784358978271484,1,12,0.5,0.5,2.66,0,0.3,15.96
2,2016-03-01 00:00:35,2016-03-01 00:15:03,1,4.33,-73.954826354980469,40.78363037109375,1,N,-73.997177124023438,40.734905242919922,1,15,0.5,0.5,3.26,0,0.3,19.56
2,2016-03-01 00:00:35,2016-03-01 00:14:40,1,5.06,-73.976417541503906,40.785839080810547,1,N,-73.940498352050781,40.842960357666016,1,17,0.5,0.5,3.1,0,0.3,21.4
2,2016-03-01 00:00:36,2016-03-01 00:03:54,1,.54,-73.956260681152344,40.803329467773438,1,N,-73.963058471679688,40.801898956298828,1,4.5,0.5,0.5,0,0,0.3,5.8
1,2016-03-01 00:00:37,2016-03-01 00:06:40,1,1.10,-73.988601684570313,40.757087707519531,1,N,-73.988822937011719,40.768932342529297,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,2016-03-01 00:00:38,2016-03-01 00:24:06,1,9.50,-73.975090026855469,40.750595092773438,1,N,-73.961784362792969,40.654178619384766,1,29,0.5,0.5,6.05,0,0.3,36.35
2,2016-03-01 00:00:38,2016-03-01 00:04:00,3,.55,-73.945945739746094,40.792743682861328,1,N,-73.947288513183594,40.790916442871094,2,4,0.5,0.5,0,0,0.3,5.3
1,2016-03-01 00:00:39,2016-03-01 00:06:48,1,1.50,-73.988487243652344,40.737354278564453,1,N,-73.9969482421875,40.719280242919922,3,7,0.5,0.5,0,0,0.3,8.3
1,2016-03-01 00:00:40,2016-03-01 00:11:23,1,2.40,-73.9739990234375,40.743122100830078,1,N,-73.967658996582031,40.770332336425781,2,10.5,0.5,0.5,0,0,0.3,11.8
1,2016-03-01 00:00:40,2016-03-01 00:07:13,1,1.20,-73.987579345703125,40.700035095214844,1,N,-73.972969055175781,40.694057464599609,1,7,0.5,0.5,1,0,0.3,9.3
1,2016-03-01 00:00:40,2016-03-01 00:12:30,1,5.40,-73.9962158203125,40.759990692138672,1,N,-73.953033447265625,40.809482574462891,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,2016-03-01 00:00:40,2016-03-01 00:08:47,1,1.43,-73.998832702636719,40.724967956542969,1,N,-74.008995056152344,40.738143920898438,1,7.5,0.5,0.5,2.64,0,0.3,11.44
2,2016-03-01 00:00:41,2016-03-01 00:11:38,1,2.99,-73.977485656738281,40.753040313720703,1,N,-74.002586364746094,40.719970703125,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,2016-03-01 00:00:41,2016-03-01 00:03:24,2,.46,-74.010169982910156,40.719333648681641,1,N,-74.013595581054688,40.716720581054688,2,4,0.5,0.5,0,0,0.3,5.3
2,2016-03-01 00:00:41,2016-03-01 00:11:39,1,2.91,0,0,1,N,0,0,1,12,0.5,0.5,3.32,0,0.3,16.62
1,2016-03-01 00:00:42,2016-03-01 00:12:52,1,3.40,-73.986610412597656,40.761936187744141,1,N,-73.942390441894531,40.748672485351563,1,12.5,0.5,0.5,4.1,0,0.3,17.9
1,2016-03-01 00:00:42,2016-03-01 00:03:31,1,.90,-73.97314453125,40.764030456542969,1,N,-73.981307983398437,40.753067016601563,1,4.5,0.5,0.5,2,0,0.3,7.8
2,2016-03-01 00:00:42,2016-03-01 00:07:32,1,1.32,-73.993995666503906,40.720108032226563,1,N,-73.98394775390625,40.737625122070313,2,7,0.5,0.5,0,0,0.3,8.3
1,2016-03-01 00:00:43,2016-03-01 00:07:09,1,1.00,-73.981979370117187,40.763042449951172,1,N,-73.96868896484375,40.754783630371094,2,6,0.5,0.5,0,0,0.3,7.3
2,2016-03-01 00:00:43,2016-03-01 00:16:22,1,4.76,-74.007926940917969,40.748172760009766,1,N,-73.96783447265625,40.792976379394531,2,17.5,0.5,0.5,0,0,0.3,18.8
2,2016-03-01 00:00:43,2016-03-01 00:08:38,1,4.51,-73.972183227539063,40.794891357421875,1,N,-73.939369201660156,40.848270416259766,1,14,0.5,0.5,2,0,0.3,17.3
2,2016-03-01 00:00:43,2016-03-01 00:08:36,1,1.42,-73.97393798828125,40.753551483154297,1,N,-73.98504638671875,40.765998840332031,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2016-03-01 00:00:44,2016-03-01 00:08:51,2,2.30,-73.977531433105469,40.753341674804688,1,N,-74.001350402832031,40.731292724609375,1,9,0.5,0.5,3.05,0,0.3,13.35
1,2016-03-01 00:00:44,2016-03-01 00:05:08,1,.50,-73.976722717285156,40.683856964111328,1,N,-73.978515625,40.689357757568359,1,5,0.5,0.5,4,0,0.3,10.3
2,2016-03-01 00:00:44,2016-03-01 00:21:27,1,5.66,-73.974998474121094,40.757671356201172,1,N,-73.89971923828125,40.725658416748047,2,20,0.5,0.5,0,0,0.3,21.3
2,2016-03-01 00:00:44,2016-03-01 00:05:50,6,1.47,-73.977409362792969,40.752193450927734,1,N,-73.996337890625,40.747688293457031,1,6.5,0.5,0.5,1.95,0,0.3,9.75
1,2016-03-01 00:00:45,2016-03-01 00:15:37,1,2.80,-74.006011962890625,40.740119934082031,1,N,-73.972610473632812,40.756317138671875,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2016-03-01 00:00:45,2016-03-01 00:39:48,3,18.34,-73.793167114257813,40.656829833984375,5,N,-73.793167114257813,40.656829833984375,2,58.34,0,0.5,0,0,0.3,59.14
